X,Y
470.231,172.47
470.131,172.481
470.032,172.493
469.933,172.505
469.833,172.516
469.734,172.528
469.635,172.54
469.535,172.551
469.436,172.563
469.337,172.575
469.237,172.586
469.138,172.598
469.039,172.609
468.939,172.621
468.84,172.632
468.741,172.644
468.641,172.655
468.542,172.667
468.443,172.679
468.343,172.69
468.244,172.702
468.145,172.713
468.045,172.725
467.946,172.737
467.847,172.748
467.747,172.76
467.648,172.772
467.549,172.784
467.45,172.796
467.35,172.807
467.251,172.819
467.152,172.831
467.052,172.843
466.953,172.854
466.854,172.866
466.754,172.877
466.655,172.888
466.556,172.899
466.456,172.911
466.357,172.923
466.258,172.934
466.158,172.946
466.059,172.958
465.96,172.97
465.86,172.982
465.761,172.994
465.662,173.006
465.563,173.017
465.463,173.029
465.364,173.041
465.265,173.053
465.165,173.064
465.066,173.076
464.967,173.087
464.867,173.099
464.768,173.111
464.669,173.122
464.569,173.134
464.47,173.146
464.371,173.157
464.271,173.169
464.172,173.181
464.073,173.192
463.973,173.204
463.874,173.216
463.775,173.227
463.675,173.239
463.576,173.25
463.477,173.262
463.377,173.273
463.278,173.285
463.179,173.296
463.079,173.308
462.98,173.319
462.881,173.331
462.781,173.342
462.682,173.354
462.583,173.366
462.484,173.378
462.384,173.39
462.285,173.402
462.186,173.415
462.087,173.427
461.987,173.438
461.888,173.45
461.789,173.461
461.689,173.472
461.59,173.484
461.49,173.495
461.391,173.507
461.292,173.518
461.192,173.53
461.093,173.541
460.994,173.553
460.895,173.565
460.795,173.577
460.696,173.589
460.597,173.6
460.497,173.612
460.398,173.624
460.299,173.636
460.199,173.648
460.1,173.659
460.001,173.671
459.902,173.683
459.802,173.694
459.703,173.706
459.603,173.717
459.504,173.728
459.405,173.74
459.305,173.752
459.206,173.763
459.107,173.775
459.008,173.787
458.908,173.799
458.809,173.81
458.71,173.822
458.61,173.833
458.511,173.845
458.412,173.856
458.312,173.868
458.213,173.88
458.114,173.892
458.014,173.903
457.915,173.915
457.816,173.927
457.716,173.938
457.617,173.95
457.518,173.961
457.418,173.972
457.319,173.984
457.22,173.995
457.12,174.007
457.021,174.018
456.922,174.03
456.822,174.042
456.723,174.054
456.624,174.066
539.903,258.401
539.906,258.501
539.909,258.601
539.912,258.701
539.915,258.801
539.918,258.901
539.921,259.001
539.923,259.1
539.926,259.2
539.928,259.3
539.931,259.4
539.933,259.5
539.935,259.6
539.937,259.7
539.94,259.8
539.942,259.9
539.944,260.0
539.946,260.1
539.948,260.2
539.95,260.3
539.952,260.4
539.954,260.5
539.956,260.6
539.958,260.7
539.96,260.8
539.962,260.9
539.964,261.0
539.966,261.1
539.968,261.2
539.97,261.3
539.972,261.4
539.974,261.5
539.976,261.6
539.978,261.7
539.981,261.8
539.983,261.9
539.985,262.0
539.987,262.1
539.99,262.2
539.991,262.3
539.993,262.4
539.995,262.5
539.997,262.6
539.999,262.7
540.001,262.8
540.003,262.9
540.005,263.0
540.008,263.1
540.012,263.2
540.015,263.299
540.018,263.399
540.021,263.499
540.024,263.599
540.026,263.699
540.029,263.799
540.032,263.899
540.035,263.999
540.038,264.099
540.041,264.199
540.044,264.299
540.047,264.399
540.051,264.499
540.054,264.599
540.057,264.699
540.06,264.799
540.063,264.899
540.066,264.999
540.069,265.099
540.072,265.199
540.075,265.299
540.078,265.398
540.081,265.498
540.085,265.598
540.088,265.698
540.091,265.798
540.094,265.898
540.097,265.998
540.1,266.098
540.103,266.198
540.106,266.298
540.109,266.398
540.112,266.498
540.115,266.598
540.118,266.698
540.121,266.798
540.124,266.898
540.127,266.998
540.13,267.098
540.133,267.198
540.136,267.298
540.139,267.398
540.142,267.498
540.145,267.597
540.148,267.697
540.151,267.797
540.154,267.897
540.157,267.997
540.16,268.097
540.164,268.197
540.167,268.297
540.17,268.397
540.173,268.497
540.176,268.597
540.179,268.697
540.182,268.797
540.185,268.897
540.189,268.997
540.192,269.097
540.195,269.197
540.198,269.297
540.201,269.397
540.204,269.497
540.207,269.597
540.21,269.696
540.213,269.796
540.216,269.896
540.219,269.996
540.222,270.096
540.225,270.196
540.228,270.296
540.231,270.396
540.234,270.496
540.237,270.596
540.24,270.696
540.244,270.796
540.247,270.896
540.25,270.996
540.253,271.096
540.256,271.196
540.259,271.296
540.263,271.396
540.266,271.496
540.269,271.596
540.272,271.696
540.275,271.795
540.278,271.895
540.281,271.995
540.284,272.095
540.287,272.195
540.29,272.295
540.293,272.395
540.296,272.495
540.298,272.595
540.301,272.695
540.304,272.795
540.307,272.895
540.31,272.995
540.313,273.095
540.316,273.195
540.319,273.295
540.322,273.395
540.326,273.495
540.329,273.595
540.332,273.695
540.336,273.795
540.339,273.895
540.342,273.994
540.345,274.094
540.348,274.194
540.35,274.294
540.353,274.394
540.356,274.494
540.359,274.594
540.362,274.694
540.365,274.794
540.369,274.894
540.372,274.994
540.376,275.094
540.379,275.194
540.383,275.294
540.386,275.394
540.389,275.494
540.391,275.594
544.703,275.507
544.7,275.407
544.696,275.307
544.693,275.207
544.691,275.107
544.688,275.007
544.685,274.907
544.683,274.808
544.68,274.708
544.678,274.608
544.675,274.508
544.672,274.408
544.67,274.308
544.668,274.208
544.665,274.108
544.663,274.008
544.66,273.908
544.658,273.808
544.656,273.708
544.653,273.608
544.651,273.508
544.648,273.408
544.646,273.308
544.644,273.208
544.641,273.108
544.639,273.008
544.636,272.908
544.633,272.808
544.631,272.708
544.628,272.608
544.626,272.508
544.623,272.408
544.621,272.308
544.618,272.208
544.616,272.108
544.614,272.008
544.611,271.908
544.609,271.808
544.607,271.708
544.604,271.608
544.602,271.508
544.599,271.409
544.597,271.309
544.594,271.209
544.591,271.109
544.589,271.009
544.586,270.909
544.584,270.809
544.581,270.709
544.579,270.609
544.576,270.509
544.574,270.409
544.571,270.309
544.569,270.209
544.566,270.109
544.564,270.009
544.562,269.909
544.559,269.809
544.557,269.709
544.554,269.609
544.552,269.509
544.549,269.409
544.547,269.309
544.544,269.209
544.542,269.109
544.539,269.009
544.537,268.909
544.535,268.809
544.532,268.709
544.53,268.609
544.527,268.509
544.525,268.409
544.523,268.309
544.52,268.21
544.518,268.11
544.515,268.01
544.513,267.91
544.511,267.81
544.508,267.71
544.506,267.61
544.503,267.51
544.501,267.41
544.498,267.31
544.496,267.21
544.493,267.11
544.491,267.01
544.488,266.91
544.486,266.81
544.483,266.71
544.481,266.61
544.478,266.51
544.476,266.41
544.473,266.31
544.471,266.21
544.468,266.11
544.466,266.01
544.464,265.91
544.461,265.81
544.459,265.71
544.456,265.61
544.454,265.51
544.451,265.41
544.449,265.31
544.446,265.21
544.443,265.11
544.441,265.01
544.438,264.911
544.436,264.811
544.433,264.711
544.431,264.611
544.428,264.511
544.426,264.411
544.424,264.311
544.421,264.211
544.419,264.111
544.416,264.011
544.414,263.911
544.411,263.811
544.409,263.711
544.406,263.611
544.404,263.511
544.401,263.411
544.398,263.311
544.396,263.211
544.393,263.111
544.39,263.011
544.387,262.911
544.384,262.811
544.381,262.711
544.378,262.611
544.375,262.511
544.373,262.411
544.37,262.311
544.369,262.211
544.367,262.111
544.365,262.011
544.363,261.911
544.361,261.811
544.359,261.712
544.355,261.612
544.351,261.512
544.345,261.412
525.491,173.462
525.391,173.462
525.291,173.463
525.191,173.465
525.091,173.467
524.991,173.47
524.891,173.473
524.791,173.476
524.691,173.479
524.591,173.482
524.491,173.485
524.391,173.488
524.291,173.491
524.191,173.494
524.091,173.497
523.991,173.5
523.891,173.503
523.791,173.506
523.691,173.508
523.591,173.511
523.491,173.514
523.391,173.516
523.291,173.519
523.191,173.522
523.091,173.524
522.992,173.527
522.892,173.529
522.792,173.532
522.692,173.535
522.592,173.537
522.492,173.54
522.392,173.543
522.292,173.546
522.192,173.549
522.092,173.551
521.992,173.554
521.892,173.557
521.792,173.56
521.692,173.563
521.592,173.566
521.492,173.569
521.392,173.572
521.292,173.575
521.192,173.578
521.092,173.581
520.992,173.584
520.892,173.587
520.792,173.59
520.692,173.592
520.592,173.595
520.493,173.598
520.393,173.601
520.293,173.604
520.193,173.606
520.093,173.609
519.993,173.612
519.893,173.614
519.793,173.617
519.693,173.619
519.593,173.622
519.493,173.625
519.393,173.627
519.293,173.63
519.193,173.633
519.093,173.635
518.993,173.638
518.893,173.641
518.793,173.644
518.693,173.647
518.593,173.65
518.493,173.653
518.393,173.656
518.293,173.659
518.193,173.662
518.093,173.665
517.993,173.668
517.894,173.671
517.794,173.674
517.694,173.677
517.594,173.68
517.494,173.683
517.394,173.686
517.294,173.688
517.194,173.691
517.094,173.694
516.994,173.696
516.894,173.699
516.794,173.702
516.694,173.704
516.594,173.707
516.494,173.709
516.394,173.712
